name,synonyme,kurzzeichen,kategorie,unterkategorie,beschreibung,verwendung,typischer_container,ist_behälter,typische_fahrzeuge,din_ref,einheit_menge,region,quelle_konfidenz
Handsprechfunkgerät,Funkgerät;HRT;Handfunkgerät,HRT,Kommunikation & Führung,Funk,Tragbares digitales/analoges Sprechfunkgerät,Kommunikation der Trupps an der Einsatzstelle,,nein,alle,,Stück,DE,hoch
Fahrzeugfunkgerät,MRT;Feststation (mobil),MRT,Kommunikation & Führung,Funk,Im Fahrzeug fest eingebautes Funkgerät,Verbindung zur Leitstelle und zwischen Fahrzeugen,,nein,alle,,fest eingebaut,DE,mittel
Meldeempfänger,Pager;DME;Piepser,DME,Kommunikation & Führung,Alarmierung,Kleiner Funkempfänger zur stillen Alarmierung,Alarmierung der Einsatzkräfte,,nein,persönlich,,Stück,DE,mittel
Handlautsprecher,Megafon;Flüstertüte,,Kommunikation & Führung,Durchsage,Batteriebetriebener Lautsprecher mit Mikrofon,Durchsagen und Warnungen an größere Personengruppen,,nein,ELW;LF 20;HLF 20,,Stück,DE,mittel
Einsatzleiterkoffer,Führungskoffer;ELW-Koffer,,Kommunikation & Führung,Führung,"Koffer mit Führungsmitteln (Karten, Vordrucke, Marker)",Führungsunterstützung des Einsatzleiters,,ja,ELW;KdoW,,Stück,DE,mittel
Einsatztafel,Führungstafel;Magnettafel;Whiteboard,,Kommunikation & Führung,Führung,Tafel zur Lagedarstellung mit Symbolen/Magneten,Visualisieren von Lage und Kräfteeinsatz,,nein,ELW,,Stück,DE,niedrig
Fernglas,Feldstecher,,Kommunikation & Führung,Erkundung,Optisches Vergrößerungsgerät,Erkundung und Beobachtung aus Distanz,,nein,ELW;KdoW,,Stück,DE,niedrig
Verkehrsleitkegel,Pylone;Leitkegel;Lübecker Hütchen;Verkehrshütchen,,Verkehrsabsicherung & Warnung,Absperrung,Kegel aus Kunststoff (meist 50/75 cm) mit Reflexring,Absperren und Leiten des Verkehrs an der Einsatzstelle,Verkehrssicherungskoffer,nein,LF 20;HLF 20;RW;ELW,,Stück,DE,hoch
Warndreieck,Pannendreieck,,Verkehrsabsicherung & Warnung,Warnung,Reflektierendes Dreieck als Gefahrenzeichen,Frühzeitiges Warnen des fließenden Verkehrs,Verkehrssicherungskoffer,nein,alle,,Stück,DE,hoch
Warnblitzleuchte,Blitzleuchte;Warnleuchte;Rundumkennleuchte (mobil),,Verkehrsabsicherung & Warnung,Warnung,Batteriebetriebene gelbe Blitz-/Warnleuchte,Kennzeichnen von Kegeln und Gefahrenstellen bei Nacht,Verkehrssicherungskoffer,nein,LF 20;HLF 20;RW,,Stück,DE,hoch
Faltsignal,Faltdreieck;Verkehrswarngerät,,Verkehrsabsicherung & Warnung,Warnung,Zusammenfaltbares großes Warnzeichen,Weithin sichtbare Vorwarnung im Verkehrsraum,Verkehrssicherungskoffer,nein,LF 20;HLF 20;ELW,,Stück,DE,mittel
Absperrband,Flatterband;Trassierband,,Verkehrsabsicherung & Warnung,Absperrung,Rot-weißes Kunststoffband auf Rolle,Kennzeichnen und Absperren von Gefahrenbereichen,,nein,alle,,Rolle,DE,mittel
Verkehrsleitstab,Winkerkelle;Anhaltestab;Signalstab,,Verkehrsabsicherung & Warnung,Verkehrslenkung,Leuchtender Stab zur Verkehrsregelung,Anhalten und Lenken von Fahrzeugen,Verkehrssicherungskoffer,nein,ELW;LF 20;HLF 20,,Stück,DE,niedrig
Kennzeichnungsweste,Funktionsweste;Führungsweste,,Kennzeichnung & Sonstiges,Kennzeichnung,Farbige Weste mit Funktionsaufschrift (z. B. Gruppenführer),Erkennbarkeit von Funktionen an der Einsatzstelle,,nein,alle,,Stück,DE,mittel
Unterlegkeil,Bremskeil;Radkeil,,Kennzeichnung & Sonstiges,Fahrzeugzubehör,Keil zum Sichern des abgestellten Fahrzeugs,Fahrzeug gegen Wegrollen sichern,,nein,alle,DIN 76051,Stück,DE,mittel
Verbandkasten,Erste-Hilfe-Koffer;Sanitätskasten;Verbandskasten,,Sanität / Erste Hilfe,Erstversorgung,Koffer/Tasche mit Verbandmaterial nach Norm,Erstversorgung von Verletzten,,ja,alle,DIN 13157,Stück,DE,hoch
Notfallkoffer,Sauerstoffkoffer;Erste-Hilfe-Notfallkoffer,,Sanität / Erste Hilfe,Erstversorgung,Koffer mit erweiterter Notfallausstattung und O2,Erweiterte medizinische Erstversorgung,,ja,RW;ELW;GW-San,DIN 13232,Stück,DE,mittel
Krankentrage,Trage;Tragestuhl,,Sanität / Erste Hilfe,Transport,Zusammenklappbare Trage,Transport liegender Patienten,,nein,RW;GW-San;LF 20,DIN 13024,Stück,DE,mittel
Schaufeltrage,Scoop;Klapptrage,,Sanität / Erste Hilfe,Transport,Zweiteilige Trage die unter den Patienten geschoben wird,Schonende Aufnahme Verletzter,,nein,RW;GW-San,,Stück,DE,mittel
Spineboard,Rettungsbrett;Backboard,,Sanität / Erste Hilfe,Transport,Starres Brett mit Fixiergurten und Kopffixierung,Achsengerechte Rettung bei Wirbelsäulenverdacht,,nein,RW;HLF 20;GW-San,,Stück,DE,mittel
Rettungsdecke,Wärmedecke;Alufolie;Isolierdecke,,Sanität / Erste Hilfe,Erstversorgung,Metallbeschichtete Folie gegen Wärmeverlust,Schutz vor Auskühlung / Überhitzung,,nein,alle,,Stück,DE,mittel
Mehrgasmessgerät,Gaswarngerät;Gasmessgerät;Vier-Gas-Messgerät,,Messtechnik & Gefahrgut,Messtechnik,Tragbares Gerät zur Messung mehrerer Gase gleichzeitig,"Überwachen von Ex, O2, CO und H2S an der Einsatzstelle",,nein,HLF 20;GW-G;ELW,,Stück,DE,hoch
CO-Warner,Kohlenmonoxid-Warner;CO-Melder,,Messtechnik & Gefahrgut,Messtechnik,Persönliches Messgerät für Kohlenmonoxid,Frühwarnung vor CO im Innenangriff,,nein,HLF 20;LF 20,,Stück,DE,mittel
Ex-Messgerät,Explosimeter;Ex-Warngerät,,Messtechnik & Gefahrgut,Messtechnik,Gerät zur Messung explosionsfähiger Gemische,Erkennen von Explosionsgefahr (untere Explosionsgrenze),,nein,GW-G;HLF 20,,Stück,DE,mittel
Prüfröhrchen,Gasspürröhrchen;Dräger-Röhrchen,,Messtechnik & Gefahrgut,Messtechnik,Röhrchen mit Reagenz für bestimmte Stoffe,Nachweis und grobe Konzentration einzelner Gefahrstoffe,Gefahrgutkoffer,nein,GW-G,,Satz,DE,niedrig
Ölbindemittel,Ölbinder;Bindemittel Typ III,,Messtechnik & Gefahrgut,Umwelt,Granulat/Vlies zum Aufnehmen von Ölen,Binden ausgelaufener Öle und Kraftstoffe,,nein,LF 20;HLF 20;RW;GW-G,,Sack,DE,hoch
Auffangbehälter,Auffangwanne;Leckwanne,,Messtechnik & Gefahrgut,Umwelt,Wanne/Behälter zum Auffangen auslaufender Stoffe,Auffangen von Leckagen und kontaminiertem Wasser,,ja,GW-G;RW,,Stück,DE,mittel
Leckdichtset,Dichtkissen;Dichtungsmaterial;Leckabdichtset,,Messtechnik & Gefahrgut,Umwelt,"Satz aus Kissen, Keilen und Bandagen",Provisorisches Abdichten von Leckagen an Behältern,Gefahrgutkoffer,nein,GW-G;RW,,Satz,DE,niedrig
Erdungsgarnitur,Erdungssatz;Potenzialausgleich,,Messtechnik & Gefahrgut,Umwelt,Kabel mit Erdspieß und Klemmen,Erden von Behältern gegen elektrostatische Aufladung,Gefahrgutkoffer,nein,GW-G,,Satz,DE,niedrig
Gefahrgut-Nachschlagewerk,Hommel;ERICARD;Nachschlagewerk Gefahrgut,,Messtechnik & Gefahrgut,Information,Handbuch/Karten zu Gefahrstoffen und Maßnahmen,Nachschlagen von Stoffdaten und Erstmaßnahmen,,nein,GW-G;ELW,,Stück,DE,niedrig
Schraubendreher-Satz,Schraubenzieher;Schraubendrehersatz,,Werkzeug & Rüstzeug,Handwerkzeug,Set Schlitz-/Kreuzschraubendreher verschiedener Größen,Lösen und Festziehen von Schrauben,Werkzeugkoffer,nein,LF 20;HLF 20;RW,,Satz,DE,hoch
Hammer,Schlosserhammer;Klauenhammer,,Werkzeug & Rüstzeug,Handwerkzeug,Universeller Handhammer,Schlagen und Nageln bei Rüstarbeiten,Werkzeugkoffer,nein,LF 20;HLF 20;RW,,Stück,DE,mittel
Zange,Kombizange;Seitenschneider;Beißzange,,Werkzeug & Rüstzeug,Handwerkzeug,Greif- und Schneidzange,"Greifen, Halten und Durchtrennen von Drähten",Werkzeugkoffer,nein,LF 20;HLF 20;RW,,Stück,DE,mittel
Wasserpumpenzange,Rohrzange;Pumpenzange,,Werkzeug & Rüstzeug,Handwerkzeug,Verstellbare Greifzange für Rohre und Muttern,"Rohre, Verschraubungen und Ventile bewegen",Werkzeugkoffer,nein,LF 20;HLF 20;RW,,Stück,DE,mittel
Ring-Maulschlüsselsatz,Schraubenschlüsselsatz;Gabelschlüssel,,Werkzeug & Rüstzeug,Handwerkzeug,Satz Ring- und Maulschlüssel verschiedener Weiten,Verschraubungen lösen und anziehen,Werkzeugkoffer,nein,LF 20;HLF 20;RW,,Satz,DE,mittel
Bügelsäge,Metallsäge;Handsäge,,Werkzeug & Rüstzeug,Handwerkzeug,Handsäge mit auswechselbarem Sägeblatt,Trennen von Metall und Holz von Hand,Werkzeugkoffer,nein,LF 20;HLF 20;RW,,Stück,DE,mittel
Kabelmesser,Elektrikermesser;Klappmesser,,Werkzeug & Rüstzeug,Handwerkzeug,Klappmesser mit Klinge und Haken,"Schneiden von Leitungen, Gurten und Material",,nein,persönlich;LF 20;HLF 20,,Stück,DE,niedrig
Isolierband,Klebeband;Panzerband;Gewebeband,,Werkzeug & Rüstzeug,Verbrauchsmittel,Klebeband für Isolier- und Fixierarbeiten,"Isolieren, Kennzeichnen und provisorisch Befestigen",Werkzeugkoffer,nein,LF 20;HLF 20;RW,,Rolle,DE,niedrig
Wassersauger,Nasssauger;Industriesauger,,Wasserschaden & Umwelt,Wasserschaden,Sauger für Nass- und Trockenschmutz,Aufnehmen von Restwasser in Gebäuden,,nein,GW-L;RW,,Stück,DE,mittel
Wasserschieber,Gummiwischer;Flutschieber;Wasserabzieher,,Wasserschaden & Umwelt,Wasserschaden,Breiter Gummischieber mit Stiel,Restwasser aus Räumen zusammenschieben,,nein,LF 20;GW-L,,Stück,DE,mittel
Faltbehälter,Faltbecken;Wasserbehälter;Faltwanne,,Wasserschaden & Umwelt,Wasserversorgung,Zusammenfaltbarer offener Wasserbehälter,Pufferspeicher für Löschwasser im Pendelverkehr,,ja,TLF;GW-L;LF 20,,Stück,DE,mittel
Kanaldichtkissen,Gully-Ei;Kanaldichtstopfen;Abwasserblase,,Wasserschaden & Umwelt,Umwelt,Aufblasbares Kissen zum Verschließen von Kanälen,Verhindern dass Schadstoffe in die Kanalisation gelangen,Gefahrgutkoffer,nein,GW-G;RW,,Stück,DE,niedrig
Verkehrssicherungskoffer,Verkehrsabsicherungskoffer;Warnkoffer,,Behälter & Sets,Container,Koffer/Kiste mit Warn- und Absperrmaterial,"Bündelt Warnwesten, Leuchten und Kleinmaterial zur Absicherung",,ja,LF 20;HLF 20;RW;ELW,,Stück,DE,mittel
Werkzeugkoffer,Werkzeugkasten;Werkzeugkiste,,Behälter & Sets,Container,Kasten mit Handwerkzeug-Grundausstattung,Trägt das Handwerkzeug gebündelt am Fahrzeug,,ja,LF 20;HLF 20;RW,,Stück,DE,mittel
Rüstholzkiste,Unterbaukiste;Holzkiste,,Behälter & Sets,Container,"Kiste mit Kanthölzern, Keilen und Brettern",Bevorratung von Unterbau- und Stabilisierungsmaterial,,ja,RW;HLF 20,,Stück,DE,niedrig
Gefahrgutkoffer,Ölwehrkoffer;GAMS-Koffer,,Behälter & Sets,Container,Koffer mit Erstmaßnahmen-Material für Gefahrgut,"Bündelt Dicht-, Mess- und Schutzmaterial für den Erstangriff",,ja,GW-G;RW;HLF 20,,Stück,DE,niedrig
Glasmanagement-Set,Glasmanagement-Koffer;Scheibenmanagement,,Behälter & Sets,Container,"Set aus Glassäge, Federkörner, Abdeckungen",Kontrolliertes Entfernen und Abdecken von Fahrzeugglas,,ja,RW;HLF 20,,Stück,DE,mittel
Absturzsicherungssatz,Absturzsicherungs-Set;Höhensicherungssatz,,Behälter & Sets,Container,"Satz aus Gurten, Seil, Karabinern und Abseilgerät",Sichern von Einsatzkräften gegen Absturz,,ja,RW;DLK;HLF 20,,Satz,DE,mittel
Notfallrucksack,First-Responder-Rucksack;Sanitätsrucksack,,Sanität / Erste Hilfe,Erstversorgung,"Rucksack mit medizinischer Erstausstattung nach Norm","Erweiterte medizinische Erstversorgung durch First Responder",,ja,HLF 20;RW;GW-San;ELW,DIN 14142,Stück,DE,mittel
Automatisierter Externer Defibrillator,AED;Defibrillator,AED,Sanität / Erste Hilfe,Erstversorgung,"Gerät zur automatisierten Defibrillation bei Herzstillstand","Frühdefibrillation im Rahmen der Reanimation",Notfallrucksack,nein,HLF 20;RW;ELW;GW-San,,Stück,DE,mittel
Beatmungsbeutel,Ambubeutel;Handbeatmungsbeutel,,Sanität / Erste Hilfe,Erstversorgung,"Handbetriebener Beutel zur Beatmung","Manuelle Beatmung nicht atmender Patienten",Notfallrucksack,nein,HLF 20;RW;GW-San,,Stück,DE,mittel
Sauerstoffflasche medizinisch,O2-Flasche;Medizinsauerstoff,,Sanität / Erste Hilfe,Erstversorgung,"Druckflasche mit medizinischem Sauerstoff und Druckminderer","Sauerstoffgabe bei der Notfallversorgung",Notfallrucksack,nein,HLF 20;RW;GW-San,,Stück,DE,mittel
Absaugpumpe,Sekretabsaugpumpe;Handabsaugpumpe,,Sanität / Erste Hilfe,Erstversorgung,"Manuelle oder elektrische Pumpe zum Absaugen von Sekret","Freimachen der Atemwege",Notfallrucksack,nein,RW;GW-San,,Stück,DE,niedrig
Vakuummatratze,Vakuum-Matratze,,Sanität / Erste Hilfe,Transport,"Mit Unterdruck formstabile Matratze","Ganzkörperimmobilisation bei Verletzungen",,nein,RW;GW-San,,Stück,DE,mittel
HWS-Schiene,Halskrause;Stifneck;Zervikalstütze,,Sanität / Erste Hilfe,Erstversorgung,"Stützkragen zur Ruhigstellung der Halswirbelsäule","Immobilisation der HWS bei Verdacht auf Wirbelverletzung",Notfallrucksack,nein,RW;HLF 20;GW-San,,Stück,DE,mittel
Guedeltubus-Satz,Guedel-Tubus;Oropharyngealtubus,,Sanität / Erste Hilfe,Erstversorgung,"Satz gebogener Tuben verschiedener Größen","Offenhalten der Atemwege beim bewusstlosen Patienten",Notfallrucksack,nein,RW;GW-San,,Satz,DE,niedrig
Schienungsmaterial,SAM-Splint;Schienenset;Universalschiene,,Sanität / Erste Hilfe,Erstversorgung,"Formbare Schienen zur Ruhigstellung von Gliedmaßen","Immobilisieren von Frakturen an Armen und Beinen",Notfallrucksack,nein,RW;GW-San,,Satz,DE,niedrig
Verbandmaterial,Verbandpäckchen;Wundauflagen;Verbandstoff,,Sanität / Erste Hilfe,Verbrauchsmittel,"Verbandpäckchen, Kompressen und Binden","Wundversorgung und Blutstillung",Verbandkasten,nein,alle,,Set,DE,niedrig
Krankentragehalterung,Tragenlagerung;Tragenhalterung,,Sanität / Erste Hilfe,Transport,"Halterung zur Aufnahme einer Krankentrage","Transport liegender Patienten mit Drehleiter oder RW",,nein,DLK;RW,,Stück,DE,niedrig
Schleifkorbtrage,Schleifkorb;Korbtrage,,Rettung & Absturzsicherung,Transport,"Stabile Korbtrage mit Fixiergurten","Transport von Patienten in Höhen, Tiefen und unwegsamem Gelände",,nein,RW;DLK;GW-Höhenrettung,,Stück,DE,mittel
Atemschutz-Notfalltasche,Crashtasche;RIT-Bag;Rettungstrupptasche,,Atemschutz,Sicherheit,"Tasche mit Ersatzluftversorgung und Rettungsmitteln","Notfallrettung verunglückter Atemschutzgeräteträger",,ja,HLF 20;GW-Atemschutz,,Stück,DE,mittel
Kombinationsfilter,Atemfilter;Filter ABEK,,Atemschutz,Filtergerät,"Wechselfilter gegen Gase, Dämpfe und Partikel","Atemschutz in umluftabhängiger Umgebung mit bekanntem Stoff",,nein,GW-G;HLF 20,DIN EN 14387,Stück,DE,mittel
Filtermaske,Filtergerät;Halbmaske;Atemfiltergerät,,Atemschutz,Filtergerät,"Voll- oder Halbmaske mit aufgesetztem Filter","Atemschutz ohne Pressluft bei ausreichend Sauerstoff",,nein,GW-G;ELW,,Stück,DE,niedrig
Kontaminationsschutzanzug Form 1,Overgarment;leichter Schutzanzug;Form 1,Form 1,Messtechnik & Gefahrgut,Körperschutz,"Leichter spritzwassergeschützter Schutzanzug","Körperschutz bei geringer Kontaminationsgefahr",,nein,GW-G;RW,,Stück,DE,mittel
Kontaminationsschutzanzug Form 2,Spritzschutzanzug;Form 2,Form 2,Messtechnik & Gefahrgut,Körperschutz,"Flüssigkeitsdichter Schutzanzug ohne Gasdichtheit","Körperschutz im Dekon-Bereich und bei Spritzgefahr",,nein,GW-G;RW,,Stück,DE,mittel
Dekontaminationsdusche,Dekon-Dusche;Duschzelt;Dekon-Platz,,Messtechnik & Gefahrgut,Dekontamination,"Zelt oder Gestell mit Dusche zur Grobdekontamination","Reinigung kontaminierter Einsatzkräfte und Betroffener",,ja,GW-Dekon;GW-G,,Stück,DE,mittel
Gerätedekon-Set,Dekon-Set;Gerätedekontamination,,Messtechnik & Gefahrgut,Dekontamination,"Wannen, Bürsten und Reinigungsmittel für Gerätedekon","Dekontamination von Geräten und Schutzkleidung",,ja,GW-G;GW-Dekon,,Satz,DE,niedrig
Fasspumpe,Umfüllpumpe;Chemiepumpe,,Messtechnik & Gefahrgut,Umwelt,"Chemikalienbeständige Pumpe zum Umfüllen","Umpumpen ausgelaufener oder leckender Flüssigkeiten",,nein,GW-G,,Stück,DE,niedrig
Fassgreifer,Fasszange;Fassheber,,Messtechnik & Gefahrgut,Umwelt,"Greifer zum Anheben und Bewegen von Fässern","Bergen und Umsetzen beschädigter Gebinde",,nein,GW-G,,Stück,DE,niedrig
Überfass,Bergefass;Fassüberbehälter,,Messtechnik & Gefahrgut,Umwelt,"Großes Fass zur Aufnahme eines leckenden Fasses","Sicheres Bergen undichter Gebinde",,ja,GW-G,,Stück,DE,niedrig
Kanalabdeckung,Gullyabdeckung;Kanaldichtplatte;Abdeckplane,,Messtechnik & Gefahrgut,Umwelt,"Gummimatte oder Platte zum Abdecken von Kanaleinläufen","Schutz der Kanalisation vor eindringenden Schadstoffen",Gefahrgutkoffer,nein,GW-G;RW,,Stück,DE,niedrig
Indikatorpapier,pH-Papier;Nachweispapier,,Messtechnik & Gefahrgut,Messtechnik,"Teststreifen zum Nachweis von pH-Wert und Stoffen","Grobe Einordnung ausgetretener Stoffe",Gefahrgutkoffer,nein,GW-G,,Satz,DE,niedrig
Dosiswarngerät,Dosimeter;Strahlenmessgerät;Kontaminationsnachweisgerät,,Messtechnik & Gefahrgut,Messtechnik,"Gerät zur Messung ionisierender Strahlung","Erkennen und Überwachen radiologischer Gefahren",,nein,GW-Strahlenschutz;GW-G,,Stück,DE,niedrig
Chemikalienbindemittel,Chemiebinder;Universalbinder,,Messtechnik & Gefahrgut,Umwelt,"Granulat zum Aufnehmen aggressiver Chemikalien","Binden ausgelaufener Chemikalien über Öl hinaus",,nein,GW-G;RW,,Sack,DE,niedrig
Augenspülflasche,Augenspülung;Augendusche,,Messtechnik & Gefahrgut,Erstversorgung,"Flasche mit Spüllösung für die Augen","Erstspülung der Augen nach Kontakt mit Reizstoffen",,nein,GW-G;HLF 20,,Stück,DE,niedrig
Infrarot-Thermometer,IR-Thermometer;Pyrometer;Temperaturmessgerät,,Messtechnik & Gefahrgut,Messtechnik,"Berührungsloses Thermometer","Messen von Oberflächentemperaturen bei Brand und Gefahrgut",,nein,GW-G;HLF 20,,Stück,DE,niedrig
Windmessgerät,Anemometer;Windmesser,,Messtechnik & Gefahrgut,Messtechnik,"Gerät zur Messung der Windgeschwindigkeit","Ausbreitungsabschätzung bei Gefahrstoffaustritt",,nein,GW-G;ELW,,Stück,DE,niedrig
Löschrucksack,Waldbrandrucksack;Wasserrucksack,,Brandbekämpfung,Vegetationsbrand,"Tragbarer Wasserbehälter (ca. 20 l) mit Handpumpe","Nachlöschen und Bekämpfen von Boden- und Vegetationsbränden",,ja,TSF-W;LF 20;GW-Waldbrand,,Stück,DE,mittel
Waldbrandpatsche,Löschpatsche Vegetation;Feuerpatsche Waldbrand,,Brandbekämpfung,Vegetationsbrand,"Robuste Patsche zum Ausschlagen von Bodenfeuern","Bekämpfen von Lauffeuern und Glutnestern",,nein,LF 20;GW-Waldbrand,,Stück,DE,mittel
Wiedehopfhaue,Wiedehopf;Haue,,Brandbekämpfung,Vegetationsbrand,"Kombiwerkzeug aus Hacke und Haue","Anlegen von Wundstreifen und Freilegen von Glutnestern",,nein,GW-Waldbrand;LF 20,,Stück,DE,mittel
McLeod-Werkzeug,McLeod-Tool;McLeod,,Brandbekämpfung,Vegetationsbrand,"Kombiwerkzeug aus Rechen und Haue","Räumen von Brennmaterial und Anlegen von Wundstreifen",,nein,GW-Waldbrand,,Stück,DE,niedrig
Gorgui-Werkzeug,Gorgui-Tool;Gorgui,,Brandbekämpfung,Vegetationsbrand,"Schlag- und Patschwerkzeug für Vegetationsbrände","Ausschlagen und Ersticken von Bodenfeuern",,nein,GW-Waldbrand,,Stück,DE,niedrig
D-Schlauch-Rucksack,Schlauchrucksack;Waldbrand-Schlauchrucksack,,Schläuche & Armaturen,Transport,"Rucksack mit D-Schläuchen, Verteiler und D-Hohlstrahlrohren","Vorgehen mit dünnen Leitungen im unwegsamen Gelände",,ja,GW-Waldbrand;TSF-W,,Stück,DE,mittel
D-Hohlstrahlrohr,D-Rohr Hohlstrahl,,Brandbekämpfung,Strahlrohre,"Kleines Hohlstrahlrohr für die D-Leitung","Sparsamer Löschangriff bei Vegetationsbränden",D-Schlauch-Rucksack,nein,GW-Waldbrand;TSF-W,,Stück,DE,niedrig
Rettungsweste,Feststoffweste;Schwimmweste;Auftriebsweste,,PSA / Schutzausrüstung,Wasserrettung,"Auftriebsmittel für Einsätze am und im Wasser","Eigensicherung bei Arbeiten an Gewässern",,nein,LF 20;RW;GW-Wasserrettung,DIN EN ISO 12402,Stück,DE,mittel
Wathose,Wattstiefelhose;Watstiefel,,PSA / Schutzausrüstung,Wasserrettung,"Wasserdichte Hose mit angesetzten Stiefeln","Arbeiten in flachem Wasser und bei Hochwasser",,nein,LF 20;GW-L,,Stück,DE,niedrig
Rettungswurfleine,Wurfsack;Wurfleine;Rettungswurfsack,,Rettung & Absturzsicherung,Wasserrettung,"Beutel mit Schwimmleine zum Zuwerfen","Rettung treibender Personen vom Ufer oder Boot",,nein,LF 20;GW-Wasserrettung,,Stück,DE,mittel
Eisrettungsschlitten,Eisretter;Eisrettungsgerät,,Rettung & Absturzsicherung,Wasserrettung,"Schlitten oder Brett zur Rettung aus Eisflächen","Erreichen und Bergen eingebrochener Personen auf Eis",,nein,GW-Wasserrettung;RW,,Stück,DE,niedrig
Mehrzweckboot,Schlauchboot;Rettungsboot;MZB,MZB,Rettung & Absturzsicherung,Wasserrettung,"Schlauch- oder Festrumpfboot für Wasser- und Hochwassereinsatz","Personenrettung und Transport auf dem Wasser",,nein,GW-Wasserrettung;RTB,,Stück,DE,niedrig
Außenbordmotor,Bootsmotor;Außenborder,,Rettung & Absturzsicherung,Wasserrettung,"Motor für das Mehrzweckboot","Antrieb des Rettungsboots",,nein,GW-Wasserrettung,,Stück,DE,niedrig
Tierfangstange,Fangstange;Fanggabel;Greifstange,,Rettung & Absturzsicherung,Tierrettung,"Stange mit Schlinge oder Gabel zum Fixieren von Tieren","Sicheres Einfangen von Hunden und Wildtieren",,nein,RW;LF 20,,Stück,DE,niedrig
Tierfangschlinge,Fangschlinge,,Rettung & Absturzsicherung,Tierrettung,"Seil- oder Drahtschlinge zum Sichern von Tieren","Fixieren gefährdeter oder aggressiver Tiere",,nein,RW;LF 20,,Stück,DE,niedrig
Insektenschutzset,Wespenschutzanzug;Imkerschutz;Insektenschutzausrüstung,,PSA / Schutzausrüstung,Sonderschutz,"Anzug und Mittel gegen Insektenstiche","Entfernen von Wespen- und Hornissennestern",,ja,LF 20;RW,,Satz,DE,niedrig
Rangierroller,Autoroller;Rangierheber,,Technische Hilfeleistung,Heben & Bewegen,"Rollwagen der unter das Rad eines Fahrzeugs gesetzt wird","Verschieben nicht rollfähiger Fahrzeuge",,nein,RW;HLF 20,,Satz,DE,niedrig
Zurrgurt,Spanngurt;Ratschengurt;Bindegurt,,Technische Hilfeleistung,Stabilisierung,"Gurt mit Ratsche zum Zurren und Sichern","Sichern und Stabilisieren von Lasten und Bauteilen",,nein,LF 20;HLF 20;RW,,Stück,DE,mittel
Anschlagkette,Spreizerkette;Kettensatz;Zurrkette,,Technische Hilfeleistung,Heben & Bewegen,"Kettensatz mit Haken für Spreizer und Zuggeräte","Anschlagen und Ziehen von Lasten mit dem Spreizer",Rettungssatz,nein,RW;HLF 20,,Satz,DE,niedrig
Hydraulik-Verlängerungsschlauch,Verlängerungsschlauch;HD-Schlauch,,Technische Hilfeleistung,Hydraulische Rettung,"Hochdruckschlauch zur Reichweitenverlängerung","Größerer Aktionsradius der hydraulischen Rettungsgeräte",Rettungssatz,nein,RW;HLF 20,,Stück,DE,niedrig
Seilwinde,Windenanlage;Bergewinde,,Technische Hilfeleistung,Heben & Bewegen,"Motorisch angetriebene Seilwinde, meist am Rüstwagen","Bergen und Ziehen schwerer Fahrzeuge und Lasten",,nein,RW,,fest eingebaut,DE,mittel
Hydraulischer Wagenheber,Rangierwagenheber;Hydraulikheber,,Technische Hilfeleistung,Heben & Bewegen,"Hydraulischer Heber für hohe Lasten","Anheben von Fahrzeugen und Lasten",,nein,RW;HLF 20,,Stück,DE,mittel
Kettenzug,Kettenflaschenzug;Flaschenzug,,Technische Hilfeleistung,Heben & Bewegen,"Handbetriebener Kettenzug mit Übersetzung","Kontrolliertes Heben und Halten schwerer Lasten",,nein,RW;HLF 20,,Stück,DE,niedrig
Hebebaum,Hebebalken;Brechbaum,,Technische Hilfeleistung,Heben & Bewegen,"Stabiler Balken als Hebel","Anheben und Bewegen von Lasten mit Hebelwirkung",,nein,RW;HLF 20,,Stück,DE,niedrig
Bergungsplane,Abdeckplane;Plane,,Technische Hilfeleistung,Sonstiges,"Reißfeste Plane","Abdecken von Fahrzeugteilen, Sichtschutz und Ablagefläche",,nein,RW;HLF 20;LF 20,,Stück,DE,niedrig
Rundschlinge,Hebeband;Bandschlinge Heben,,Technische Hilfeleistung,Heben & Bewegen,"Textile Schlinge als Anschlagmittel","Anschlagen von Lasten an Zug- und Hebegeräte",,nein,RW;HLF 20,,Stück,DE,niedrig
Umlenkrolle,Seilrolle;Umlenkrolle,,Technische Hilfeleistung,Heben & Bewegen,"Rolle zur Umlenkung von Seilen","Zugrichtung ändern bei Seil- und Zugarbeiten",Absturzsicherungssatz,nein,RW;GW-Höhenrettung,,Stück,DE,niedrig
Bodenanker,Erdanker;Erdnagel,,Technische Hilfeleistung,Stabilisierung,"In den Boden getriebener Anker als Fixpunkt","Setzen von Fixpunkten für Zug- und Sicherungsarbeiten",,nein,RW;GW-Höhenrettung,,Stück,DE,niedrig
Akkuschrauber,Bohrschrauber;Akku-Bohrmaschine,,Werkzeug & Rüstzeug,Elektrowerkzeug,"Akkubetriebener Bohrschrauber","Schrauben und Bohren bei Rüstarbeiten",Werkzeugkoffer,nein,RW;HLF 20,,Stück,DE,niedrig
Bohrhammer,Schlagbohrmaschine;Bohrmaschine,,Werkzeug & Rüstzeug,Elektrowerkzeug,"Elektrischer Bohr- und Schlaghammer","Bohren in Beton und Mauerwerk",,nein,RW,,Stück,DE,niedrig
